conc,D/A
7.91616,0.318865
8.39325,0.317602
8.46506,0.303024
8.5133,0.324571
8.84579,0.377284
8.92171,0.313928
9.06297,0.348979
9.14697,0.306429
10.2956,0.319836
10.4751,0.332012
10.7232,0.306594
10.864,0.341957
11.0088,0.305901
11.1018,0.325542
11.1637,0.305879
11.1753,0.309332
11.5233,0.326277
12.0076,0.302408
12.4414,0.319405
12.6881,0.291575
12.8442,0.305205
13.0029,0.337161
13.1499,0.309179
13.1731,0.315644
13.4372,0.31894
13.8309,0.30853
13.9707,0.300364
14.2386,0.321089
14.2393,0.299992
14.364,0.300632
14.368,0.312404
14.429,0.300464
14.6569,0.293425
15.1212,0.300782
15.2773,0.290819
15.4618,0.292698
15.5023,0.334178
15.7965,0.300945
15.8391,0.283196
15.8529,0.297759
15.9811,0.287789
16.1465,0.307496
16.1905,0.322169
16.4012,0.288378
16.4245,0.302295
16.7545,0.329082
16.9044,0.303385
17.1482,0.299631
17.5854,0.325431
17.7738,0.288497
17.8414,0.303296
17.9177,0.297806
17.9619,0.288984
18.0797,0.31098
18.147,0.292946
18.5616,0.302693
18.7075,0.288657
18.7368,0.308629
18.7473,0.300126
18.9127,0.292742
19.0796,0.296242
19.0949,0.31317
19.2271,0.308167
19.2814,0.292072
19.3432,0.278114
19.4827,0.288837
19.5503,0.283969
19.7262,0.298472
19.7549,0.297059
19.8022,0.28157
19.82,0.288412
19.9225,0.298031
19.9678,0.291053
19.9885,0.294918
20.08,0.293098
20.4375,0.281711
20.6823,0.293306
20.9222,0.285278
20.9248,0.288415
20.9579,0.27731
21.1222,0.290322
21.1782,0.28096
21.4901,0.291242
21.6447,0.290352
21.7212,0.294043
21.7255,0.282587
21.7379,0.291221
21.8078,0.293568
21.8344,0.297379
21.9864,0.294197
22.0953,0.281858
22.1128,0.291727
22.1365,0.296288
22.208,0.322828
22.3463,0.28783
22.3473,0.304343
22.3524,0.291426
22.421,0.273861
22.5077,0.290641
22.565,0.28929
22.6297,0.28414
22.6436,0.293684
22.7037,0.298208
22.7311,0.296602
22.8058,0.301327
22.8471,0.2907
22.9401,0.283305
23.1118,0.296291
23.124,0.288181
23.1731,0.288718
23.3855,0.30353
23.386,0.300775
23.4735,0.28189
23.4801,0.28076
23.5118,0.287234
23.5487,0.274985
23.7837,0.295245
23.876,0.289077
23.8987,0.282951
23.9094,0.295785
23.9505,0.294659
23.9652,0.28719
24.0325,0.299741
24.0419,0.323186
24.0543,0.284179
24.1128,0.28115
24.1731,0.292633
24.2835,0.307932
24.3481,0.278951
24.5324,0.27817
24.5805,0.297306
24.6282,0.27326
24.712,0.294351
24.7186,0.281272
24.7212,0.30356
24.7366,0.315924
24.781,0.276522
24.9746,0.291594
24.9947,0.290741
25.1318,0.292222
25.1347,0.292778
25.224,0.288429
25.2517,0.287646
25.2902,0.283088
25.3352,0.289979
25.4058,0.278127
25.4639,0.289125
25.5047,0.289994
25.6031,0.285774
25.6114,0.284094
25.6516,0.287938
25.6566,0.287337
25.7595,0.270031
25.8829,0.276594
25.9144,0.277937
25.9175,0.280192
25.9521,0.305274
26.0911,0.277563
26.1203,0.276071
26.1724,0.284194
26.1741,0.289224
26.1862,0.306046
26.2216,0.281674
26.2459,0.288928
26.2857,0.288512
26.3081,0.281595
26.6333,0.278559
26.6356,0.277493
26.7106,0.283437
26.7974,0.281211
26.9343,0.279027
26.9545,0.276643
26.9996,0.281887
27.0388,0.289572
27.0541,0.283383
27.0549,0.276983
27.066,0.281945
27.0727,0.284037
27.1164,0.278441
27.159,0.278058
27.2116,0.290379
27.2449,0.2823
27.3261,0.27936
27.3967,0.284446
27.4564,0.289808
27.464,0.291121
27.4998,0.274782
27.5092,0.288787
27.5937,0.278843
27.6742,0.272074
27.6817,0.273163
27.7055,0.284856
27.7256,0.281823
27.7256,0.280552
27.7882,0.284447
27.8249,0.279927
27.9686,0.282227
27.9818,0.278227
27.9954,0.282563
28.0501,0.292816
28.1209,0.286488
28.182,0.288538
28.2721,0.286233
28.3057,0.28196
28.353,0.291283
28.5901,0.283386
28.7572,0.278587
28.7728,0.271246
28.8408,0.278323
28.8563,0.28899
28.9321,0.270371
29.0322,0.279318
29.0948,0.292117
29.2225,0.266405
29.2547,0.275839
29.2571,0.283306
29.3703,0.277632
29.382,0.277944
29.4357,0.280155
29.4536,0.279071
29.4716,0.280415
29.4777,0.271389
29.5223,0.274754
29.5892,0.267305
29.6112,0.299086
29.7405,0.272999
29.7409,0.268857
29.7783,0.28665
29.8853,0.274242
29.9942,0.288279
30.0705,0.277395
30.2283,0.279877
30.2489,0.284606
30.2621,0.276911
30.3003,0.287166
30.3574,0.2721
30.46,0.279189
30.5797,0.300489
30.5848,0.283301
30.6154,0.28076
30.6161,0.280059
30.6892,0.282645
30.6954,0.28134
30.7265,0.262844
30.7426,0.276199
30.7928,0.287215
30.8087,0.284896
30.8565,0.279818
30.8819,0.279134
30.8971,0.27155
30.9349,0.276764
30.9389,0.302404
30.9525,0.279202
30.9879,0.277083
31.0252,0.27874
31.1246,0.277075
31.1294,0.284871
31.1433,0.28237
31.2277,0.273415
31.2357,0.28085
31.2619,0.292614
31.3323,0.267558
31.4155,0.269464
31.4949,0.276922
31.7142,0.27635
31.7217,0.279955
31.7269,0.271811
31.831,0.274895
31.9182,0.277332
31.9807,0.278049
32.0026,0.291331
32.048,0.277097
32.1007,0.276183
32.1452,0.285329
32.1846,0.281497
32.2278,0.285403
32.2777,0.273413
32.3002,0.270634
32.3954,0.277089
32.4447,0.277195
32.4514,0.274839
32.5294,0.274338
32.5576,0.280064
32.5949,0.274671
32.7048,0.281801
32.7183,0.278744
32.7749,0.280632
32.8965,0.268601
32.8994,0.27073
32.9675,0.277547
33.1344,0.272254
33.1509,0.264469
33.2259,0.278073
33.2492,0.267526
33.2837,0.273293
33.3406,0.272713
33.4071,0.269466
33.4778,0.280288
33.4823,0.283008
33.5131,0.27948
33.5374,0.288329
33.6165,0.275814
33.6953,0.27529
33.7475,0.28199
33.8169,0.278809
33.9242,0.273691
33.9255,0.273122
33.9425,0.290893
33.9564,0.278766
33.9971,0.281504
34.0834,0.275852
34.1152,0.274881
34.1779,0.278104
34.1882,0.282826
34.205,0.271845
34.2083,0.272363
34.6417,0.294191
34.6542,0.278443
34.6853,0.265992
34.7287,0.269225
34.7772,0.277985
34.7784,0.279925
34.7802,0.278078
34.7933,0.277208
34.9385,0.276729
34.942,0.266046
34.9764,0.276157
34.988,0.285416
34.9965,0.279563
35.0177,0.279322
35.0554,0.279288
35.1276,0.273715
35.2329,0.265817
35.2586,0.273277
35.2623,0.269312
35.268,0.275175
35.3672,0.278389
35.4318,0.272189
35.4509,0.278292
35.4526,0.277777
35.4667,0.2689
35.5109,0.262491
35.6337,0.269407
35.6367,0.276603
35.6943,0.265304
35.8441,0.271084
35.8686,0.275778
35.8961,0.264864
35.9975,0.275164
36.0101,0.272194
36.0881,0.262674
36.1286,0.270354
36.1827,0.283384
36.2211,0.270502
36.2808,0.265638
36.3275,0.274608
36.3882,0.271406
36.3985,0.274341
36.4354,0.264443
36.4473,0.265553
36.6181,0.273523
36.6939,0.273857
36.7151,0.276296
36.7962,0.266376
36.8801,0.267249
36.8887,0.264214
36.9649,0.277894
36.9985,0.261614
37.0429,0.27202
37.0994,0.267204
37.1249,0.274659
37.1622,0.277269
37.1899,0.268587
37.2579,0.278543
37.2874,0.269725
37.3068,0.271767
37.3877,0.280276
37.4367,0.264127
37.5094,0.273958
37.537,0.26818
37.551,0.277435
37.6591,0.269397
37.66,0.257747
37.7448,0.272814
37.8415,0.269021
37.8441,0.280885
37.8775,0.268246
37.9133,0.266797
38.0293,0.274003
38.1744,0.280685
38.2711,0.276359
38.3177,0.275715
38.4161,0.272308
38.4177,0.273684
38.4525,0.277246
38.5374,0.27549
38.5386,0.270503
38.5573,0.274106
38.5938,0.266902
38.7114,0.272341
38.763,0.263747
38.8022,0.271568
38.8685,0.259068
38.9672,0.267932
38.9761,0.270911
38.9795,0.276306
38.9971,0.264565
39.0218,0.269009
39.0683,0.268686
39.1294,0.260756
39.1594,0.280337
39.5066,0.276727
39.5294,0.265846
39.5818,0.268188
39.6235,0.268649
39.6274,0.265784
39.6683,0.276825
39.7159,0.27399
39.7557,0.282598
39.8093,0.264032
39.857,0.274098
39.8953,0.268018
39.9355,0.281048
39.9862,0.273328
40.0734,0.266736
40.0801,0.269196
40.0812,0.265867
40.1164,0.271547
40.1185,0.265986
40.1719,0.265643
40.3733,0.281691
40.4818,0.273664
40.5062,0.261262
40.5531,0.274787
40.6551,0.276529
40.771,0.276389
40.7777,0.266404
40.8319,0.273204
40.8872,0.271707
40.8896,0.274725
40.9523,0.269156
40.9738,0.27073
40.9884,0.271341
41.0437,0.270881
41.0554,0.268627
41.0571,0.263284
41.1128,0.273473
41.1275,0.275629
41.1601,0.27509
41.1678,0.26487
41.225,0.269083
41.2924,0.271845
41.372,0.274101
41.3733,0.264195
41.3813,0.258347
41.4075,0.266805
41.4854,0.264192
41.7624,0.267173
41.8126,0.25839
41.8182,0.273963
41.8363,0.279662
41.8635,0.2668
41.8836,0.272283
41.9295,0.263267
41.9334,0.269435
42.0583,0.275391
42.0778,0.263773
42.0784,0.258717
42.1197,0.263615
42.1767,0.27182
42.3155,0.275806
42.3846,0.275587
42.4308,0.267297
42.449,0.268942
42.4777,0.275182
42.5092,0.264095
42.5229,0.270657
42.5442,0.270486
42.5639,0.272571
42.642,0.26616
42.7441,0.259603
42.751,0.2737
42.7594,0.266297
42.7724,0.264266
42.7907,0.259946
42.8144,0.270025
42.8386,0.263905
42.8498,0.263593
42.857,0.260666
42.8722,0.267491
42.8739,0.276092
42.8743,0.272165
42.9436,0.266684
42.9484,0.278277
42.9931,0.265835
43.0375,0.272779
43.0577,0.273534
43.0621,0.271709
43.1068,0.263168
43.1097,0.279057
43.1842,0.277575
43.2093,0.269052
43.2901,0.281078
43.3541,0.275448
43.3598,0.269424
43.3786,0.263641
43.4108,0.27709
43.4321,0.268323
43.4701,0.260931
43.5386,0.271234
43.5522,0.272434
43.5678,0.257329
43.6328,0.262992
43.6379,0.274312
43.6457,0.270096
43.8467,0.277996
43.9874,0.270398
44.0456,0.259276
44.1936,0.272731
44.2321,0.278673
44.2426,0.265996
44.3569,0.274965
44.3933,0.265302
44.3998,0.273271
44.4047,0.27001
44.4295,0.26064
44.4594,0.267554
44.5021,0.258213
44.5887,0.271329
44.5935,0.261929
44.7479,0.266713
44.7783,0.271714
44.8175,0.259014
44.9248,0.266164
44.9557,0.257034
44.966,0.253685
44.9694,0.260418
45.0493,0.268631
45.156,0.271861
45.1613,0.261266
45.2357,0.275321
45.2985,0.273137
45.3097,0.262413
45.4507,0.264353
45.4668,0.265756
45.5828,0.270468
45.6834,0.282036
45.7052,0.271188
45.7191,0.266646
45.7258,0.267505
45.765,0.264844
45.7728,0.271122
45.9304,0.260201
45.9355,0.255757
45.9387,0.271304
45.954,0.261746
45.979,0.258003
45.9963,0.268036
46.0822,0.264715
46.1143,0.254331
46.1461,0.266672
46.1513,0.271263
46.214,0.262902
46.2996,0.259297
46.3181,0.265597
46.3999,0.271936
46.5141,0.264908
46.6353,0.272557
46.6722,0.265294
46.7402,0.25527
46.8013,0.261016
46.8144,0.26186
46.8686,0.272488
46.8836,0.262674
46.9801,0.265218
46.9832,0.264237
47.1325,0.262447
47.1487,0.263194
47.354,0.265001
47.3543,0.269757
47.3781,0.262614
47.3796,0.269193
47.4205,0.275851
47.5029,0.259976
47.505,0.263361
47.5083,0.255838
47.5364,0.270797
47.5777,0.264349
47.5981,0.259637
47.6356,0.265725
47.6842,0.271536
47.8386,0.273775
47.842,0.258427
47.9194,0.267279
47.9734,0.26222
47.9879,0.255542
48.0277,0.265131
48.2192,0.266877
48.2209,0.266721
48.2557,0.264633
48.2728,0.254457
48.3791,0.266125
48.3831,0.260757
48.3962,0.254195
48.4626,0.256291
48.4988,0.245456
48.562,0.254343
48.5691,0.270592
48.591,0.262109
48.6486,0.263766
48.7071,0.257403
48.9012,0.256451
48.9179,0.26364
48.9795,0.261408
49.0012,0.266517
49.0387,0.269474
49.0826,0.269814
49.0985,0.268315
49.1091,0.265772
49.1643,0.269494
49.2712,0.26249
49.3128,0.270151
49.3215,0.270296
49.3397,0.261104
49.3785,0.264512
49.4476,0.25947
49.6332,0.264817
49.7048,0.266532
49.751,0.263207
49.8078,0.258319
49.8628,0.270389
49.8687,0.262145
49.8846,0.267102
49.9065,0.269568
49.9302,0.259426
49.9483,0.26582
49.9918,0.268672
50.0673,0.257369
50.0929,0.270558
50.1093,0.270752
50.1095,0.271943
50.1232,0.253514
50.2104,0.259873
50.2705,0.259598
50.2735,0.26678
50.285,0.260875
50.2857,0.260123
50.4157,0.265753
50.4237,0.259391
50.5625,0.271418
50.5914,0.2678
50.5914,0.276684
50.6126,0.265724
50.7681,0.267506
50.801,0.252109
50.8558,0.267682
50.8594,0.259309
50.868,0.264634
50.8713,0.25302
50.9859,0.263854
51.0068,0.270104
51.0506,0.254355
51.1074,0.260992
51.1731,0.260865
51.294,0.258043
51.3096,0.260757
51.3266,0.267125
51.3392,0.256729
51.3544,0.264111
51.3731,0.254919
51.5112,0.25263
51.5595,0.258814
51.5954,0.258917
51.609,0.257036
51.6097,0.270213
51.6351,0.25488
51.6861,0.265745
51.7112,0.260602
51.734,0.256032
51.8828,0.266608
51.9968,0.261169
52.0072,0.264616
52.0259,0.262501
52.0941,0.25322
52.1019,0.259362
52.2049,0.256177
52.2204,0.25758
52.2369,0.265055
52.2522,0.265774
52.3426,0.26079
52.3711,0.262513
52.3728,0.256739
52.3981,0.252514
52.4569,0.253852
52.4875,0.257649
52.563,0.266172
52.5909,0.265016
52.6846,0.263352
52.6978,0.266877
52.8122,0.258295
52.8479,0.256261
52.9377,0.259328
52.9478,0.257645
52.9605,0.266331
52.9795,0.266849
52.9929,0.258049
53.1065,0.265381
53.1426,0.269094
53.1915,0.267551
53.2629,0.258026
53.2972,0.274419
53.3662,0.256592
53.4749,0.264543
53.5745,0.270817
53.6011,0.26088
53.6114,0.258053
53.677,0.26207
53.7669,0.260824
53.8513,0.257615
53.8551,0.25849
53.9443,0.263393
53.9589,0.267019
53.9725,0.262533
54.0661,0.250652
54.1524,0.261257
54.1624,0.259997
54.2522,0.268939
54.2648,0.256106
54.5211,0.263243
54.5537,0.266238
54.5763,0.260475
54.6243,0.272325
54.6803,0.258716
54.8495,0.271473
54.8665,0.262575
54.8837,0.261701
54.9048,0.266367
54.974,0.26338
54.993,0.266734
54.9939,0.268708
55.1378,0.257284
55.1734,0.265655
55.2106,0.260873
55.2274,0.26186
55.2708,0.267636
55.2844,0.26328
55.3412,0.264979
55.3619,0.265893
55.3708,0.263072
55.378,0.258623
55.3959,0.255239
55.4956,0.258171
55.5254,0.263432
55.538,0.257812
55.5838,0.270047
55.6094,0.262798
55.6192,0.259845
55.6262,0.263168
55.6491,0.256947
55.6545,0.259804
55.6788,0.264643
55.6802,0.263457
55.709,0.268979
55.7916,0.263372
55.8287,0.265983
55.8598,0.256816
55.9046,0.252495
56.0314,0.241396
56.0805,0.254845
56.1637,0.256732
56.2017,0.26811
56.2319,0.258544
56.239,0.266353
56.2641,0.257854
56.3119,0.261117
56.3187,0.260579
56.4277,0.261187
56.4613,0.256416
56.549,0.265066
56.6826,0.260964
56.7004,0.260164
56.7406,0.260533
56.7608,0.272817
56.8374,0.263515
56.8892,0.249468
56.9038,0.264966
56.9313,0.254498
56.9604,0.265221
56.9908,0.256334
57.053,0.275253
57.0764,0.265433
57.2,0.242917
57.2471,0.255299
57.3144,0.258871
57.3147,0.269109
57.3365,0.269242
57.3497,0.253074
57.5315,0.265203
57.5361,0.267775
57.5454,0.256121
57.6117,0.244796
57.6301,0.257459
57.6429,0.263457
57.677,0.255284
57.723,0.254932
57.7311,0.258804
57.7548,0.257001
57.7706,0.264038
57.869,0.255023
57.8813,0.25426
57.9991,0.263816
58.0398,0.26402
58.0874,0.258988
58.1965,0.26187
58.215,0.260865
58.2223,0.267779
58.2725,0.259633
58.2903,0.248148
58.2968,0.264671
58.345,0.25824
58.3512,0.259266
58.4149,0.266104
58.4365,0.261271
58.4552,0.267655
58.4675,0.261294
58.4676,0.250926
58.5097,0.247062
58.5112,0.258053
58.5157,0.265678
58.5244,0.266082
58.5454,0.26808
58.589,0.258561
58.5915,0.26367
58.6022,0.261974
58.6693,0.257023
58.7227,0.259195
58.7864,0.261296
58.8099,0.260697
59.019,0.258413
59.0318,0.26137
59.1764,0.265171
59.2303,0.257282
59.2335,0.236707
59.2348,0.258636
59.2487,0.265655
59.257,0.262346
59.2692,0.257524
59.3299,0.255324
59.3319,0.271509
59.4237,0.264886
59.5043,0.260824
59.5178,0.26153
59.5382,0.255536
59.5593,0.251271
59.5814,0.254629
59.5979,0.250972
59.6316,0.252731
59.641,0.259421
59.6734,0.254704
59.7043,0.254702
59.7059,0.257827
59.7247,0.261048
59.7557,0.256009
59.7928,0.239458
59.8696,0.268651
59.911,0.2544
59.9132,0.262591
59.9475,0.261899
59.9636,0.251748
60.2194,0.251058
60.2512,0.25151
60.2713,0.255137
60.314,0.259634
60.3961,0.262011
60.4707,0.261573
60.4758,0.270825
60.4933,0.268913
60.5438,0.263653
60.6801,0.250441
60.6973,0.243784
60.7065,0.262152
60.7341,0.245346
60.7927,0.24987
60.8646,0.254538
60.9145,0.273226
60.962,0.262055
60.9874,0.266518
60.9898,0.259016
61.0038,0.262018
61.0399,0.265599
61.0474,0.270095
61.0636,0.259394
61.0906,0.261761
61.1223,0.255721
61.2686,0.279189
61.2941,0.26262
61.31,0.24887
61.3153,0.258542
61.335,0.265897
61.3466,0.255576
61.4267,0.254829
61.4284,0.254141
61.4486,0.260244
61.482,0.26045
61.4834,0.258788
61.5234,0.256584
61.5246,0.263336
61.6391,0.251631
61.6964,0.257221
61.7158,0.262963
61.8653,0.262913
61.9247,0.253007
61.9909,0.265489
62.0291,0.255517
62.0563,0.260653
62.0588,0.249282
62.0908,0.257832
62.0923,0.256982
62.0928,0.262101
62.1145,0.261878
62.1499,0.260908
62.158,0.258257
62.2857,0.260091
62.3204,0.248989
62.3883,0.275358
62.4041,0.256686
62.4587,0.266077
62.5555,0.257298
62.5673,0.260749
62.6777,0.251513
62.7017,0.262135
62.7587,0.25885
62.816,0.245875
62.8532,0.265498
62.8534,0.257779
62.8549,0.249383
62.8601,0.254497
63.0009,0.269124
63.0121,0.252226
63.0293,0.260232
63.1208,0.266684
63.1218,0.273195
63.1451,0.255879
63.1632,0.256402
63.1747,0.263012
63.212,0.261533
63.2207,0.2635
63.2574,0.2564
63.2931,0.246888
63.3243,0.251531
63.3458,0.255364
63.3797,0.261204
63.3804,0.258675
63.4018,0.262325
63.4231,0.237664
63.4233,0.260109
63.5397,0.246466
63.6127,0.236824
63.6421,0.260162
63.7,0.252502
63.7724,0.250716
63.7951,0.267289
63.7979,0.245899
63.9313,0.25549
63.9689,0.260553
63.9693,0.26018
64.1001,0.244392
64.1123,0.25706
64.1242,0.257675
64.2722,0.260982
64.301,0.257603
64.3354,0.247163
64.3885,0.25173
64.3998,0.260881
64.4169,0.250068
64.5127,0.249435
64.5244,0.2581
64.7391,0.250766
64.7506,0.25519
64.7518,0.240266
65.0228,0.238858
65.0576,0.245518
65.1096,0.259401
65.1884,0.268776
65.2225,0.244399
65.2621,0.265983
65.2783,0.247856
65.2864,0.248136
65.3392,0.257762
65.3816,0.252662
65.4009,0.255722
65.5128,0.254461
65.5601,0.259344
65.6096,0.259875
65.6253,0.258729
65.6254,0.260029
65.6693,0.257109
65.7157,0.255862
